date,tic,open,high,low,close,volume,macd,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma
2020-08-20,AAPL,112.474,115.048,112.455,130593071.0,114.939,-4196847.159889579,48.73876698075666,-44.61050201601619,60.83163589914522,163633358.76666668,154488061.01666668
2020-08-20,GOOG,77.1725,79.2935,76.91,34137540.0,79.0875,-349780.04635874927,49.92319634817578,13.431325239342437,36.35875821846864,32975672.666666668,33719554.666666664
2020-08-20,MSFT,202.007,207.285,201.393,27986355.349049,206.871,-3685077.142292075,48.38816180064242,-50.837924107938804,24.26345383213265,35776513.6517098,35816809.03167007
2020-08-21,AAPL,115.894,121.334,115.884,347873075.0,120.852,11055204.76365289,56.36178455091624,219.52227910124734,70.05020883647654,172127587.63333333,157987101.75
2020-08-21,GOOG,78.8515,79.886,78.4002,28929060.0,79.021,-647077.8714627586,48.75316668282095,-44.20498982015243,39.688675841485626,32702172.0,33637047.0
2020-08-21,MSFT,206.169,208.485,205.2,37599358.842652,205.368,-2747136.2695303187,50.27200852008262,9.808886959685172,27.13810512436543,36122552.07447,35857187.44327485
2020-08-24,AAPL,125.065,125.145,120.451,355985158.0,122.306,23525947.861341715,56.61098769556264,200.31422756828744,74.01388279896827,177408060.66666666,161281117.6
2020-08-24,GOOG,79.699,80.7085,79.0285,28204580.0,79.41,-930422.4821730852,48.58930634506377,-49.97508153903838,44.03407595497829,32411375.333333332,33494437.0
2020-08-24,MSFT,207.078,207.791,204.811,26408363.004025,206.004,-2873701.986390747,48.15524321917793,-60.87363771576788,25.487616272501008,35681113.636589564,35566958.94687163
2020-08-25,AAPL,121.177,121.639,119.577,217638454.0,121.294,21992200.095558524,51.42945604595499,42.48647250067693,68.54551758173588,178786915.13333333,163516391.33333334
2020-08-25,GOOG,79.1035,80.581,79.1035,42641680.0,80.411,9860.960219245404,51.920556659214995,109.30822739127251,44.0340759549783,32776087.333333332,33799418.333333336
2020-08-25,MSFT,205.448,208.827,205.448,23901916.13345,208.688,-3140058.266684603,47.68999282082606,-72.96932005921316,28.14330959370907,35174973.75378573,35572492.273951255
2020-08-26,AAPL,122.621,123.416,121.54,167757074.0,122.953,16560792.294009387,49.73166846356993,-12.473504709685345,70.55647601409325,179114429.46666667,164806493.9
2020-08-26,GOOG,80.4,82.961,80.18,71621440.0,82.619,3058207.031425841,57.6225499390115,326.5831896786589,54.80173137235164,34089679.333333336,34567066.333333336
2020-08-26,MSFT,210.067,214.119,209.56,41075688.012699,213.202,-1942974.1846492141,51.042667128418415,35.88842716274267,39.849430013274464,35428878.14103263,35723442.31921426
2020-08-27,AAPL,123.563,123.877,120.342,160070235.0,121.47,11503495.375604093,49.471318519306216,-23.069569188608625,63.04440744890149,180650289.06666666,165678999.08333334
2020-08-27,GOOG,82.684,82.75,81.2875,37232040.0,81.7165,2668354.14568799,50.29961755234993,25.130322298548105,54.801731372351625,34317850.666666664,34768871.666666664
2020-08-27,MSFT,214.902,222.854,211.522,59747483.856051,218.445,506538.41220603883,54.33450483141452,138.0388321057187,53.27906171516067,36382767.34448477,36245956.36312047
2020-08-28,AAPL,122.454,122.875,121.059,193079424.0,121.284,10043337.07241851,50.619706019313774,10.627295110717304,63.04440744890146,183918422.8,167392557.53333333
2020-08-28,GOOG,81.6745,82.3585,81.5375,29995640.0,82.2205,1755243.9800884053,48.94559048319531,-37.601180716230914,54.801731372351625,34346365.333333336,34774041.666666664
2020-08-28,MSFT,219.991,222.353,218.445,27272126.561722,220.703,-170720.85861435533,48.470560828720735,-51.97068781722178,53.27906171516066,36195411.57470257,36202073.371110134
2020-08-31,AAPL,123.976,127.286,122.444,232257981.0,125.4,11910232.344815671,51.960271024990654,51.6910791009867,68.82200339175486,188556733.23333332,168905338.21666667
2020-08-31,GOOG,82.3945,82.3982,81.5155,36468120.0,81.709,1536163.5389409512,50.186335568316984,16.753616172849043,54.97822325582258,34523801.333333336,34803429.0
2020-08-31,MSFT,218.856,220.498,216.25,29845795.278388,217.421,-494085.0995193161,48.92248526111508,-35.07534897018744,44.044424965394285,35911903.86369057,36008179.36269649
2020-09-01,AAPL,129.013,130.987,126.863,156898472.0,130.389,7225598.124913156,49.297278006472624,-40.53955185177753,72.65617839225655,190225068.26666668,169876809.5
2020-09-01,GOOG,81.8315,83.2865,81.611,36533100.0,83.0355,1352196.75912261,50.19890513896546,14.118847996909958,58.82396660441075,34929141.333333336,34944254.666666664
2020-09-01,MSFT,217.401,219.297,216.367,26751783.319245,219.121,-988617.797374662,48.394647642578256,-50.1921698822225,44.0444249653943,35482946.62112637,35878512.959145084
2020-09-02,AAPL,133.716,134.084,123.426,205931231.0,127.678,7384395.33660838,50.988001394417964,15.156102189052195,53.8714116429255,194031051.23333332,170771053.78333333
2020-09-02,GOOG,83.6888,86.659,83.3165,50223600.0,86.414,2284771.1405322254,52.79501278482203,122.49245936274959,69.42376612499605,35981938.0,35311565.0
2020-09-02,MSFT,219.784,224.504,219.198,35350116.568583,223.342,-678900.2758867219,49.9471635659528,2.493445056107134,51.899759366124535,34942032.3825616,35951550.876738034
2020-09-03,AAPL,123.337,125.203,117.101,265081345.0,117.465,12143175.601683289,52.94607776832138,83.88432841905947,26.74464682963954,196097371.56666666,172325723.21666667
2020-09-03,GOOG,85.4857,85.4857,80.753,62155260.0,82.092,3941194.9136123285,54.91400928499922,192.93049128010387,40.11582047790225,36968690.666666664,35839101.666666664
2020-09-03,MSFT,221.037,221.075,207.245,60575301.16171,209.502,1583754.4936052188,54.13479093479058,164.6494123948193,12.979614989535438,34623259.5997932,36200867.99598243
2020-09-04,AAPL,116.689,120.213,107.752,342267381.0,117.542,21890461.240496665,55.3538617613861,156.2827563400281,0.868707142822713,201133990.93333334,174565284.81666666
2020-09-04,GOOG,81.213,82.2555,77.3806,52171360.0,79.552,4397613.735957071,52.86004679478373,105.26531207129509,12.699839081617409,37678133.333333336,36044847.0
2020-09-04,MSFT,207.38,210.517,197.818,61886150.708334,206.551,3443010.205938861,54.34015079543344,155.81583277421663,7.090040252283678,35305793.57369824,36316375.98547394
2020-09-08,AAPL,110.739,115.636,109.51,238086357.0,109.644,20967035.11432898,51.66262975772828,37.35258088651903,0.8687071428227016,204904881.9,175094550.3
2020-09-08,GOOG,76.6755,78.1933,76.4005,52217680.0,76.6195,4708786.591528967,52.86850760847985,96.10398346138511,6.24171058910534,38588069.333333336,36266352.666666664
2020-09-08,MSFT,199.097,202.486,194.946,54895400.193552,195.395,4302789.556459568,53.030215666843866,103.60705337398944,12.17107332362598,36090314.398585536,36479670.83642419
2020-09-09,AAPL,113.956,115.774,112.003,182079500.0,114.014,15536835.370493501,49.815227900598934,-29.553959306580605,0.49939439586062784,207413283.3,175744241.6
